,Weight with Label,Pressure_2_Integral,ActTimPlst[1],Temperature_1_YMax,CycleTime,Pressure_2_YMax,ActVolCsh[1],Pressure_1_TimeatYMin,FlowPipeIn,ActTimXfr[1],ActVolXfr[1],Pressure_2_TimeatYMax,"ActTmpBrlZn[1,2]",Pressure_1_TimeatYMax,Pressure_1_YMax,Temperature_1_Integral,Pressure_1_YMin,TemperatureMaterial,Temperature_1_TimeatYMin,TemperaturePipeIn,ActPrsMachSpecMax[1],Pressure_2_TimeatYMin,Temperature_1_TimeatYMax,Pressure_2_YMin,SetTimInjCool[1],ActVolDcmpPst[1],ActVolPlst[1],trialHasPassedDropTest
593,360.8,953.58,2.89,127.1,10.739,633.5,30.4,4.656000000000001,72.7,0.466,60.3,0.9,237.7,1.8019999999999998,207.391663,609.5,-1.7583119999999999,34.0,0.8140000000000001,15.8,1470.2,0.0,2.4,0.0,5.0,574.9,563.2,0
594,360.7,956.94,2.86,127.3,10.739,634.5,30.5,4.8389999999999995,73.5,0.467,60.2,0.9,237.7,1.8019999999999998,209.312951,610.7,-1.741972,34.15,0.784,15.8,1472.4,0.0,2.4,0.0,5.0,575.0,563.1,0
595,360.7,961.43,2.87,127.5,11.109000000000002,635.2,30.3,4.956,72.8,0.467,60.1,0.9,237.7,1.786,208.32759199999998,611.9,-1.7359919999999998,33.98,0.784,16.0,1472.2,0.0,2.5,0.0,5.0,574.9,563.2,0
596,360.5,957.44,2.86,127.4,11.109000000000002,635.3,30.5,5.206,71.8,0.467,60.3,0.9,237.7,1.819,209.189115,611.7,-0.9424450000000001,33.95,0.768,16.0,1475.0,0.0,2.4,0.0,5.0,574.9,563.1,0
597,360.7,958.45,2.88,127.6,11.109000000000002,634.6,30.2,5.24,72.3,0.467,60.1,0.9,237.7,1.8019999999999998,208.308192,612.5,-1.755052,33.96,0.8340000000000001,16.0,1473.4,0.467,2.4,-0.8,5.0,575.0,563.2,0
598,360.5,959.99,2.88,127.9,11.109000000000002,635.8,29.8,4.672,71.9,0.466,60.2,0.9,238.3,1.819,209.975282,613.7,-1.6890319999999999,34.05,0.784,16.0,1472.1,0.4,2.5,-0.5,5.0,574.9,563.2,0
599,360.8,956.97,2.88,128.0,11.109000000000002,634.4,30.7,4.739,72.5,0.467,60.2,0.9,238.3,1.819,207.30370200000002,614.1,-1.794022,33.91,0.8009999999999999,16.1,1472.5,0.41700000000000004,2.5,-0.7,5.0,575.0,563.1,0
600,360.6,956.92,2.86,127.9,11.109000000000002,635.4,30.7,5.04,71.9,0.467,60.2,0.9,238.3,1.819,208.677292,613.7,-1.7378360000000002,33.96,0.768,16.1,1471.0,0.467,2.5,-0.9,5.0,575.0,563.1,0
601,361.3,954.38,2.85,128.0,11.109000000000002,634.8,30.7,5.3229999999999995,73.3,0.46799999999999997,60.1,0.9,238.3,1.8359999999999999,207.572982,614.6,-1.767363,33.8,0.8340000000000001,16.1,1474.4,0.4,2.5,-0.6,4.0,575.0,563.1,0
616,371.8,1474.0,2.81,111.8,10.109,586.8,9.5,4.539,74.2,0.342,80.2,0.7,251.8,1.635,258.942634,532.5,-2.395398,33.84,0.684,16.0,1455.3,0.067,2.7,-0.8,4.0,575.0,563.1,0
617,371.5,1487.12,2.82,117.3,10.109,583.8,10.2,4.489,74.2,0.342,80.3,0.7,251.2,1.669,259.603096,561.3,-2.067141,33.84,0.7509999999999999,16.0,1458.6,0.017,2.5,-0.4,4.0,574.9,563.2,0
618,371.5,1489.32,2.81,119.7,10.109,582.6,10.4,4.556,74.2,0.342,80.4,0.8,250.6,1.669,264.796332,574.7,-2.0471310000000003,33.84,0.701,16.0,1462.0,0.41700000000000004,2.3,-0.4,4.0,575.0,563.1,0
619,371.4,1505.28,2.82,121.6,10.109,593.2,11.1,4.556,74.2,0.34299999999999997,80.2,0.8,250.6,1.619,262.698556,584.2,-2.483563,33.84,0.718,16.0,1458.7,0.4,2.6,-0.6,4.0,574.9,563.1,0
620,371.5,1508.58,2.84,122.3,10.109,601.2,10.8,4.506,74.2,0.34299999999999997,80.2,0.8,250.0,1.585,257.61292000000003,589.3,-2.252549,33.84,0.7509999999999999,16.0,1462.5,0.434,2.6,-0.7,4.0,575.0,563.1,0
621,371.3,1506.32,2.83,121.9,10.999,600.7,11.5,5.172999999999999,266.3,0.344,80.2,0.8,250.0,1.6019999999999999,248.640973,588.1,-1.865325,34.68,0.7509999999999999,17.8,1463.3,0.467,2.4,-0.7,4.0,575.0,563.1,0
622,371.3,1505.27,2.84,122.4,10.739,602.0,11.8,5.357,266.4,0.344,80.3,0.8,250.0,1.619,250.643637,590.8,-1.799721,34.54,0.7340000000000001,17.8,1465.3,0.451,2.5,-0.6,4.0,574.9,563.1,0
623,371.4,1499.59,2.85,123.0,10.739,599.5,11.9,5.273,265.9,0.344,80.3,0.8,249.3,1.635,244.47226,593.0,-1.7428860000000002,34.58,0.701,17.9,1464.7,0.41700000000000004,2.5,-0.7,4.0,574.9,563.1,0
624,371.4,1497.45,2.86,122.9,10.739,600.9,11.9,5.206,265.7,0.344,80.1,0.8,249.3,1.652,245.13275099999998,593.4,-1.750366,34.61,0.634,18.0,1467.0,0.4,2.4,-0.9,4.0,574.9,563.1,0
625,371.3,1492.88,2.86,122.7,10.739,598.6,11.8,5.34,266.2,0.344,80.2,0.8,249.3,1.685,241.27925699999997,592.6,-1.7085869999999999,34.59,0.7340000000000001,18.0,1464.2,0.484,2.4,-0.6,4.0,575.0,563.1,0
626,371.4,1490.1,2.87,123.2,10.739,600.8,12.2,5.3229999999999995,265.9,0.344,80.4,0.8,249.3,1.669,240.740367,595.2,-1.655397,34.56,0.784,18.0,1467.0,0.05,2.5,-0.1,4.0,574.9,563.1,0
627,371.0,1485.16,2.87,123.6,10.739,598.9,12.4,5.273,266.8,0.345,80.1,0.8,249.3,1.702,233.816866,595.8,-1.6432689999999999,34.35,0.6509999999999999,18.0,1466.3,0.0,2.5,0.0,4.0,575.0,563.1,0
628,371.1,1485.31,2.87,123.6,10.739,601.2,12.4,5.273,265.6,0.344,80.4,0.8,249.3,1.685,235.003073,596.9,-0.8194110000000001,34.54,0.684,18.2,1469.2,0.017,2.4,-0.4,4.0,575.0,563.1,0
629,371.1,1481.3,2.89,123.9,10.739,599.4,12.5,5.223,266.1,0.345,80.2,0.8,249.3,1.702,231.59899700000003,597.1,-1.5390549999999998,34.59,0.684,18.3,1467.3,0.05,2.4,0.0,4.0,575.0,563.2,0
630,370.9,1489.36,2.89,124.1,10.739,602.7,12.5,5.273,266.1,0.344,80.4,0.8,249.3,1.702,234.112351,599.2,-1.528956,34.59,0.6509999999999999,18.3,1468.5,0.0,2.6,0.0,4.0,575.1,563.1,0
631,371.1,1474.47,2.88,124.3,10.739,599.4,12.6,5.24,266.1,0.345,80.2,0.8,249.3,1.719,232.806063,599.8,-1.46259,34.59,0.7340000000000001,18.3,1469.5,0.033,2.3,-1.5,4.0,575.0,563.1,0
632,371.0,1474.36,2.88,124.0,10.739,600.3,12.2,5.24,266.1,0.344,80.4,0.8,249.3,1.719,229.543525,599.0,-1.4784620000000002,34.59,0.701,18.3,1470.3,0.017,2.4,-1.1,4.0,574.9,563.1,0
633,371.0,1481.63,2.9,124.3,10.739,600.6,12.2,5.19,266.1,0.345,80.2,0.8,249.3,1.719,228.910665,599.7,-0.605499,34.59,0.684,18.3,1465.9,0.0,2.5,0.0,4.0,575.1,563.1,0
